Student ID,Subject ID,Group ID
348,IC0262,2
348,CM0244,2
348,IC0286,1
349,CM0212,7
349,NI0100,1
349,DE0084,19
349,CO0133,11
350,PT0131,1
350,DF0239,7
350,DF0239,7
350,ST0217,1
351,IC0656,28
351,IC0695,142
351,IC0656,28
352,OG0064,1
352,NI0247,1
352,FI0131,5
352,NI0287,2
352,NI0251,2
352,OG0260,8
353,EC0103,13
353,EC0243,7
353,FI0139,6
353,ME0235,3
353,OG0126,5
354,IC0261,2
354,DE0084,4
354,MU0401,18
354,HL0593,4
355,MU0445,183
355,MU0606,183
355,MU0468,188
356,IP0664,2
356,IP0663,2
356,IP0682,51
356,IP0682,51
356,HL0552,1
356,ID0283,1
357,IC0702,28
357,IC0702,28
357,IC0630,17
358,CO0232,1
358,CO0183,1
358,CO0143,1
359,EC0102,7
359,ME0159,2
359,ME0234,1
359,ME0232,3
360,PT0131,1
360,ST0255,2
360,ST0277,2
361,OG0237,1
361,CS0067,5
361,ID0260,1
361,ID0258,5
361,IP0287,1
361,ID0261,2
362,CT0247,1
362,DF0239,4
362,DF0239,4
362,BU0600,11
363,ME0253,4
363,BU0401,1
363,NI0104,1
363,ME0245,1
363,NI0269,1
364,FI0158,1
364,EC0235,7
364,OG0136,1
364,OG0134,5
365,PS0328,1
365,PS0346,1
365,PS0340,1
365,PS0329,1
365,PS0344,1
366,DE0084,12
366,EC0101,8
366,ME0231,3
366,CO0133,11
367,ME0145,2
367,OG0135,8
368,CM0081,1
368,PT0303,1
369,IC0265,6
369,MU0401,10
369,IC0280,1
369,IC0267,4
369,IC0264,2
369,IC0263,1
369,IC0280,1
370,DE0908,1
370,DE0071,1
370,PT0300,1
370,DE0151,1
370,DE0055,1
371,IP0282,2
371,ID0258,77
371,CS0067,4
371,ID0262,3
371,ID0261,84
371,ID0252,1
372,IM0232,1
372,DF0236,1
372,HL0591,10
372,IC0262,3
372,DF0236,1
373,NI0287,1
373,FI0131,1
373,NI0260,1
373,NI0276,2
373,MU0401,19
374,ME0212,3
374,CO0231,1
374,OG0262,2
374,OG0128,2
374,ME0235,2
375,DE0120,7
375,FI0116,4
376,ST0257,2
376,ST0277,2
376,ID0616,202
377,PT0191,1
377,ME0070,4
377,PT0999,1
378,CS0256,1
378,CS0025,1
378,CS0046,2
